County,Carrier,PhoneModel,Num_of_Tests,Median_County_Income,Avg_Down,Population
Butte,all_carrier,NA,395,34586,88321,211216
Butte,T-Mobile,SM-S901U,79,34586,193775,211216
Butte,T-Mobile,SM-G970U,79,34586,37709,211216
Butte,FirstNet,SM-G998U,79,34586,75876,211216
Butte,AT&T,SM-S901U,79,34586,66813,211216
Butte,Verizon,SM-S901U,79,34586,67430,211216
Glenn,all_carrier,NA,184,36489,85575,28822
Glenn,FirstNet,SM-G998U,37,36489,68924,28822
Glenn,AT&T,SM-S901U,36,36489,71723,28822
Glenn,Verizon,SM-S901U,37,36489,54202,28822
Glenn,T-Mobile,SM-G970U,37,36489,32458,28822
Glenn,T-Mobile,SM-S901U,37,36489,200191,28822
Sonoma,all_carrier,NA,390,47404,66408,489880
Sonoma,Verizon,SM-S901U,78,47404,93676,489880
Sonoma,FirstNet,SM-G998U,78,47404,61267,489880
Sonoma,T-Mobile,SM-G970U,78,47404,34751,489880
Sonoma,T-Mobile,SM-S901U,78,47404,91308,489880
Sonoma,AT&T,SM-S901U,78,47404,51038,489880
Marin,all_carrier,NA,125,67925,103978,262410
Marin,FirstNet,SM-G998U,25,67925,96068,262410
Marin,T-Mobile,SM-S901U,25,67925,156043,262410
Marin,T-Mobile,SM-G970U,25,67925,46796,262410
Marin,Verizon,SM-S901U,25,67925,109465,262410
Marin,AT&T,SM-S901U,25,67925,111520,262410
Napa,all_carrier,NA,125,47607,100478,138433
Napa,AT&T,SM-S901U,25,47607,62964,138433
Napa,FirstNet,SM-G998U,25,47607,55918,138433
Napa,Verizon,SM-S901U,25,47607,131593,138433
Napa,T-Mobile,SM-S901U,25,47607,204434,138433
Napa,T-Mobile,SM-G970U,25,47607,47483,138433
Solano,all_carrier,NA,230,47787,131204,453405
Solano,T-Mobile,SM-S901U,46,47787,239178,453405
Solano,T-Mobile,SM-G970U,46,47787,48086,453405
Solano,AT&T,SM-S901U,46,47787,117223,453405
Solano,Verizon,SM-S901U,46,47787,136184,453405
Solano,FirstNet,SM-G998U,46,47787,115348,453405
Yolo,all_carrier,NA,155,44881,110850,216544
Yolo,T-Mobile,SM-S901U,31,44881,206326,216544
Yolo,T-Mobile,SM-G970U,31,44881,59722,216544
Yolo,AT&T,SM-S901U,31,44881,86792,216544
Yolo,Verizon,SM-S901U,31,44881,105770,216544
Yolo,FirstNet,SM-G998U,31,44881,95641,216544
Lake,all_carrier,NA,235,32940,63949,68099
Lake,T-Mobile,SM-S901U,47,32940,128158,68099
Lake,T-Mobile,SM-G970U,47,32940,21563,68099
Lake,FirstNet,SM-G998U,47,32940,60601,68099
Lake,AT&T,SM-S901U,47,32940,53298,68099
Lake,Verizon,SM-S901U,47,32940,56125,68099
Mendocino,all_carrier,NA,425,34119,34799,91602
Mendocino,T-Mobile,SM-G970U,85,34119,12719,91602
Mendocino,T-Mobile,SM-S901U,85,34119,66758,91602
Mendocino,Verizon,SM-S901U,85,34119,17620,91602
Mendocino,FirstNet,SM-G998U,85,34119,39163,91602
Mendocino,AT&T,SM-S901U,85,34119,37733,91602
Humboldt,all_carrier,NA,630,33244,34422,136514
Humboldt,Verizon,SM-S901U,126,33244,22898,136514
Humboldt,FirstNet,SM-G998U,126,33244,49366,136514
Humboldt,AT&T,SM-S901U,126,33244,39406,136514
Humboldt,T-Mobile,SM-G970U,126,33244,15986,136514
Humboldt,T-Mobile,SM-S901U,126,33244,44453,136514
Sacramento,all_carrier,NA,300,43348,127348,1585666
Sacramento,FirstNet,SM-G998U,60,43348,118686,1585666
Sacramento,Verizon,SM-S901U,60,43348,152688,1585666
Sacramento,AT&T,SM-S901U,60,43348,105204,1585666
Sacramento,T-Mobile,SM-S901U,60,43348,212098,1585666
Sacramento,T-Mobile,SM-G970U,60,43348,48067,1585666
San Joaquin,all_carrier,NA,270,39331,132786,780676
San Joaquin,T-Mobile,SM-S901U,54,39331,259732,780676
San Joaquin,T-Mobile,SM-G970U,54,39331,54645,780676
San Joaquin,Verizon,SM-S901U,54,39331,140817,780676
San Joaquin,AT&T,SM-S901U,54,39331,111433,780676
San Joaquin,FirstNet,SM-G998U,54,39331,97305,780676
Stanislaus,all_carrier,NA,225,36771,89640,553995
Stanislaus,AT&T,SM-S901U,45,36771,65826,553995
Stanislaus,T-Mobile,SM-G970U,45,36771,31697,553995
Stanislaus,T-Mobile,SM-S901U,45,36771,182238,553995
Stanislaus,Verizon,SM-S901U,45,36771,93173,553995
Stanislaus,FirstNet,SM-G998U,45,36771,75265,553995
Merced,all_carrier,NA,259,32697,63864,280873
Merced,T-Mobile,SM-S901U,52,32697,141656,280873
Merced,T-Mobile,SM-G970U,52,32697,40206,280873
Merced,Verizon,SM-S901U,51,32697,39087,280873
Merced,FirstNet,SM-G998U,52,32697,57141,280873
Merced,AT&T,SM-S901U,52,32697,40753,280873
Trinity,all_carrier,NA,255,32164,10822,16135
Trinity,FirstNet,SM-G998U,51,32164,14475,16135
Trinity,Verizon,SM-S901U,51,32164,22194,16135
Trinity,AT&T,SM-S901U,51,32164,16555,16135
Trinity,T-Mobile,SM-G970U,51,32164,503,16135
Trinity,T-Mobile,SM-S901U,51,32164,383,16135
Del Norte,all_carrier,NA,175,33632,28894,27745
Del Norte,Verizon,SM-S901U,35,33632,12732,27745
Del Norte,FirstNet,SM-G998U,35,33632,37091,27745
Del Norte,T-Mobile,SM-G970U,35,33632,15554,27745
Del Norte,T-Mobile,SM-S901U,35,33632,48417,27745
Del Norte,AT&T,SM-S901U,35,33632,30675,27745
Siskiyou,all_carrier,NA,665,33630,23150,44091
Siskiyou,FirstNet,SM-G998U,133,33630,33358,44091
Siskiyou,AT&T,SM-S901U,133,33630,22358,44091
Siskiyou,T-Mobile,SM-G970U,133,33630,12993,44091
Siskiyou,T-Mobile,SM-S901U,133,33630,25837,44091
Siskiyou,Verizon,SM-S901U,133,33630,21204,44091
El Dorado,all_carrier,NA,235,51785,81116,191282
El Dorado,Verizon,SM-S901U,47,51785,90372,191282
El Dorado,T-Mobile,SM-G970U,47,51785,36150,191282
El Dorado,T-Mobile,SM-S901U,47,51785,128531,191282
El Dorado,FirstNet,SM-G998U,47,51785,77779,191282
El Dorado,AT&T,SM-S901U,47,51785,72749,191282
Alpine,all_carrier,NA,75,31360,21080,1199
Alpine,T-Mobile,SM-S901U,15,31360,11713,1199
Alpine,T-Mobile,SM-G970U,15,31360,8701,1199
Alpine,AT&T,SM-S901U,15,31360,17428,1199
Alpine,FirstNet,SM-G998U,15,31360,20095,1199
Alpine,Verizon,SM-S901U,15,31360,47464,1199
Mono,all_carrier,NA,295,36904,37236,13185
Mono,FirstNet,SM-G998U,59,36904,54329,13185
Mono,T-Mobile,SM-S901U,59,36904,39291,13185
Mono,T-Mobile,SM-G970U,59,36904,21663,13185
Mono,AT&T,SM-S901U,59,36904,49682,13185
Mono,Verizon,SM-S901U,59,36904,21217,13185
Calaveras,all_carrier,NA,175,41045,54085,45277
Calaveras,Verizon,SM-S901U,35,41045,50307,45277
Calaveras,AT&T,SM-S901U,35,41045,47144,45277
Calaveras,T-Mobile,SM-S901U,35,41045,89920,45277
Calaveras,T-Mobile,SM-G970U,35,41045,29584,45277
Calaveras,FirstNet,SM-G998U,35,41045,53471,45277
Los Angeles,all_carrier,NA,1250,35925,120416,10012474
Los Angeles,FirstNet,SM-G998U,250,35925,104910,10012474
Los Angeles,Verizon,SM-S901U,250,35925,104747,10012474
Los Angeles,T-Mobile,SM-S901U,250,35925,233853,10012474
Los Angeles,T-Mobile,SM-G970U,250,35925,53668,10012474
Los Angeles,AT&T,SM-S901U,250,35925,104901,10012474
Orange,all_carrier,NA,330,43800,123735,3184513
Orange,FirstNet,SM-G998U,66,43800,117396,3184513
Orange,T-Mobile,SM-S901U,66,43800,197392,3184513
Orange,T-Mobile,SM-G970U,66,43800,49010,3184513
