County,Carrier,PhoneModel,Num_of_Tests,Median_County_Income,Avg_Down,Population
Riverside,all_carrier,NA,1327,35590,60186,2421480
Riverside,T-Mobile,SM-G970U,220,35590,28503,2421480
Riverside,T-Mobile,SM-S901U,220,35590,100640,2421480
Riverside,FirstNet,SM-G998U,221,35590,62052,2421480
Riverside,Sprint,SM-G973U,220,35590,32474,2421480
Riverside,Verizon,SM-S901U,219,35590,67531,2421480
Riverside,AT&T,SM-S901U,227,35590,69640,2421480
Modoc,all_carrier,NA,474,32627,22361,8703
Modoc,AT&T,SM-S901U,79,32627,14957,8703
Modoc,FirstNet,SM-G998U,79,32627,15018,8703
Modoc,Verizon,SM-S901U,79,32627,15109,8703
Modoc,T-Mobile,SM-S901U,79,32627,41534,8703
Modoc,T-Mobile,SM-G970U,79,32627,23476,8703
Modoc,Sprint,SM-G973U,79,32627,24072,8703
Placer,all_carrier,NA,288,57440,55659,405308
Placer,Sprint,SM-G973U,48,57440,36052,405308
Placer,T-Mobile,SM-G970U,48,57440,29104,405308
Placer,T-Mobile,SM-S901U,48,57440,80687,405308
Placer,FirstNet,SM-G998U,48,57440,56692,405308
Placer,AT&T,SM-S901U,48,57440,56996,405308
Placer,Verizon,SM-S901U,48,57440,74425,405308
San Diego,all_carrier,NA,1020,43442,74308,3303736
San Diego,T-Mobile,SM-G970U,170,43442,38615,3303736
San Diego,T-Mobile,SM-S901U,170,43442,118046,3303736
San Diego,FirstNet,SM-G998U,170,43442,73260,3303736
San Diego,Sprint,SM-G973U,170,43442,38425,3303736
San Diego,Verizon,SM-S901U,170,43442,91199,3303736
San Diego,AT&T,SM-S901U,170,43442,86304,3303736
Mono,all_carrier,NA,366,36904,26736,13185
Mono,T-Mobile,SM-G970U,61,36904,14114,13185
Mono,T-Mobile,SM-S901U,61,36904,26431,13185
Mono,Sprint,SM-G973U,61,36904,11911,13185
Mono,FirstNet,SM-G998U,61,36904,48582,13185
Mono,Verizon,SM-S901U,61,36904,16113,13185
