County,Carrier,PhoneModel,Num_of_Tests,Median_County_Income,Avg_Down,Population
Butte,all_carrier,NA,504,34586,30234,211216
Butte,AT&T,SM-G970U,63,34586,42969,211216
Butte,AT&T,SM-G998U,63,34586,36847,211216
Butte,Verizon,SM-G970U,63,34586,25915,211216
Butte,Verizon,SM-G998U,63,34586,24493,211216
Butte,T-Mobile,SM-G970U,63,34586,20982,211216
Butte,T-Mobile,SM-G998U,63,34586,48028,211216
Butte,Sprint,SM-G973U,63,34586,23727,211216
Butte,FirstNet,XP8800,63,34586,18910,211216
Glenn,all_carrier,NA,264,36489,32892,28822
Glenn,Verizon,SM-G970U,33,36489,23853,28822
Glenn,Verizon,SM-G998U,33,36489,14434,28822
Glenn,AT&T,SM-G970U,33,36489,54147,28822
Glenn,AT&T,SM-G998U,33,36489,56377,28822
Glenn,Sprint,SM-G973U,33,36489,19425,28822
Glenn,T-Mobile,SM-G970U,33,36489,21796,28822
Glenn,T-Mobile,SM-G998U,33,36489,52065,28822
Glenn,FirstNet,XP8800,33,36489,21039,28822
Santa Cruz,all_carrier,NA,224,45419,21712,272360
Santa Cruz,FirstNet,XP8800,28,45419,23750,272360
Santa Cruz,Verizon,SM-G970U,28,45419,26372,272360
Santa Cruz,Verizon,SM-G998U,28,45419,19304,272360
Santa Cruz,Sprint,SM-G973U,28,45419,6481,272360
Santa Cruz,T-Mobile,SM-G970U,28,45419,6142,272360
Santa Cruz,T-Mobile,SM-G998U,28,45419,14293,272360
Santa Cruz,AT&T,SM-G970U,28,45419,35791,272360
Santa Cruz,AT&T,SM-G998U,28,45419,41563,272360
Monterey,all_carrier,NA,1088,38130,25350,439008
Monterey,Verizon,SM-G970U,136,38130,26373,439008
Monterey,Verizon,SM-G998U,136,38130,20461,439008
Monterey,AT&T,SM-G970U,136,38130,39661,439008
Monterey,AT&T,SM-G998U,136,38130,37596,439008
Monterey,Sprint,SM-G973U,136,38130,18474,439008
