County,Carrier,PhoneModel,Num_of_Tests,Median_County_Income,Avg_Down,Population
Riverside,all_carrier,NA,1816,35590,39674,2421480
Riverside,AT&T,SM-G970U,227,35590,57758,2421480
Riverside,AT&T,SM-G998U,227,35590,66388,2421480
Riverside,FirstNet,XP8800,227,35590,24201,2421480
Riverside,Sprint,SM-G973U,227,35590,34481,2421480
Riverside,T-Mobile,SM-G970U,227,35590,21388,2421480
Riverside,T-Mobile,SM-G998U,227,35590,47832,2421480
Riverside,Verizon,SM-G970U,227,35590,36272,2421480
Riverside,Verizon,SM-G998U,227,35590,29074,2421480
Modoc,all_carrier,NA,632,32627,11193,8703
Modoc,AT&T,SM-G970U,79,32627,17638,8703
Modoc,AT&T,SM-G998U,79,32627,19541,8703
Modoc,FirstNet,XP8800,79,32627,12537,8703
Modoc,Sprint,SM-G973U,79,32627,3244,8703
Modoc,T-Mobile,SM-G970U,79,32627,6478,8703
Modoc,T-Mobile,SM-G998U,79,32627,14524,8703
Modoc,Verizon,SM-G970U,79,32627,8496,8703
Modoc,Verizon,SM-G998U,79,32627,7081,8703
Placer,all_carrier,NA,384,57440,33407,405308
Placer,AT&T,SM-G970U,48,57440,32565,405308
Placer,AT&T,SM-G998U,48,57440,48364,405308
Placer,FirstNet,XP8800,48,57440,23172,405308
Placer,Sprint,SM-G973U,48,57440,27840,405308
Placer,T-Mobile,SM-G970U,48,57440,28195,405308
Placer,T-Mobile,SM-G998U,48,57440,40125,405308
Placer,Verizon,SM-G970U,48,57440,37721,405308
Placer,Verizon,SM-G998U,48,57440,29273,405308
San Diego,all_carrier,NA,1368,43442,51630,3303736
San Diego,AT&T,SM-G970U,171,43442,65558,3303736
San Diego,AT&T,SM-G998U,171,43442,82305,3303736
San Diego,FirstNet,XP8800,171,43442,35129,3303736
San Diego,Sprint,SM-G973U,171,43442,34299,3303736
San Diego,T-Mobile,SM-G970U,171,43442,37741,3303736
San Diego,T-Mobile,SM-G998U,171,43442,77793,3303736
San Diego,Verizon,SM-G970U,171,43442,41995,3303736
San Diego,Verizon,SM-G998U,171,43442,38218,3303736
Mono,all_carrier,NA,488,36904,19512,13185
Mono,AT&T,SM-G970U,61,36904,43277,13185
Mono,AT&T,SM-G998U,61,36904,43085,13185
Mono,FirstNet,XP8800,61,36904,27256,13185
Mono,Sprint,SM-G973U,61,36904,2366,13185
Mono,T-Mobile,SM-G970U,61,36904,4656,13185
Mono,T-Mobile,SM-G998U,61,36904,6279,13185
Mono,Verizon,SM-G970U,61,36904,19365,13185
Mono,Verizon,SM-G998U,61,36904,9812,13185
Butte,all_carrier,NA,512,34586,30563,211216
Butte,AT&T,SM-G970U,64,34586,41256,211216
Butte,AT&T,SM-G998U,64,34586,41150,211216
Butte,FirstNet,XP8800,64,34586,27533,211216
Butte,Sprint,SM-G973U,64,34586,26580,211216
Butte,T-Mobile,SM-G970U,64,34586,25905,211216
Butte,T-Mobile,SM-G998U,64,34586,26935,211216
Butte,Verizon,SM-G970U,64,34586,28734,211216
Butte,Verizon,SM-G998U,64,34586,26407,211216
Humboldt,all_carrier,NA,984,33244,23528,136514
Humboldt,AT&T,SM-G970U,123,33244,42393,136514
Humboldt,AT&T,SM-G998U,123,33244,46423,136514
Humboldt,FirstNet,XP8800,123,33244,29280,136514
Humboldt,Sprint,SM-G973U,123,33244,12458,136514
Humboldt,T-Mobile,SM-G970U,123,33244,11182,136514
Humboldt,T-Mobile,SM-G998U,123,33244,19077,136514
Humboldt,Verizon,SM-G970U,123,33244,15272,136514
Humboldt,Verizon,SM-G998U,123,33244,12138,136514
Inyo,all_carrier,NA,1144,41156,15300,18977
Inyo,AT&T,SM-G970U,143,41156,25029,18977
Inyo,AT&T,SM-G998U,143,41156,29213,18977
Inyo,FirstNet,XP8800,143,41156,11350,18977
Inyo,Sprint,SM-G973U,143,41156,10328,18977
Inyo,T-Mobile,SM-G970U,143,41156,10195,18977
Inyo,T-Mobile,SM-G998U,143,41156,17348,18977
Inyo,Verizon,SM-G970U,143,41156,10696,18977
Inyo,Verizon,SM-G998U,143,41156,8242,18977
Fresno,all_carrier,NA,1048,32414,28744,1008860
Fresno,AT&T,SM-G970U,131,32414,45913,1008860
Fresno,AT&T,SM-G998U,131,32414,51644,1008860
Fresno,FirstNet,XP8800,131,32414,18699,1008860
Fresno,Sprint,SM-G973U,131,32414,27404,1008860
Fresno,T-Mobile,SM-G970U,131,32414,14872,1008860
Fresno,T-Mobile,SM-G998U,131,32414,19927,1008860
Fresno,Verizon,SM-G970U,131,32414,31267,1008860
Fresno,Verizon,SM-G998U,131,32414,20223,1008860
Lake,all_carrier,NA,336,32940,27911,68099
Lake,AT&T,SM-G970U,42,32940,53894,68099
Lake,AT&T,SM-G998U,42,32940,60297,68099
Lake,FirstNet,XP8800,42,32940,26314,68099
Lake,Sprint,SM-G973U,42,32940,7307,68099
Lake,T-Mobile,SM-G970U,42,32940,8973,68099
Lake,T-Mobile,SM-G998U,42,32940,16974,68099
Lake,Verizon,SM-G970U,42,32940,29028,68099
Lake,Verizon,SM-G998U,42,32940,20504,68099
San Bernardino,all_carrier,NA,2680,35438,35452,2181983
San Bernardino,AT&T,SM-G970U,335,35438,53556,2181983
San Bernardino,AT&T,SM-G998U,335,35438,59931,2181983
San Bernardino,FirstNet,XP8800,335,35438,29757,2181983
San Bernardino,Sprint,SM-G973U,335,35438,21862,2181983
San Bernardino,T-Mobile,SM-G970U,335,35438,19093,2181983
San Bernardino,T-Mobile,SM-G998U,335,35438,27513,2181983
San Bernardino,Verizon,SM-G970U,335,35438,37533,2181983
San Bernardino,Verizon,SM-G998U,335,35438,34370,2181983
Tuolumne,all_carrier,NA,224,39102,17279,55500
Tuolumne,AT&T,SM-G970U,28,39102,39246,55500
Tuolumne,AT&T,SM-G998U,28,39102,33129,55500
Tuolumne,FirstNet,XP8800,28,39102,25652,55500
Tuolumne,Sprint,SM-G973U,28,39102,2810,55500
Tuolumne,T-Mobile,SM-G970U,28,39102,2870,55500
Tuolumne,T-Mobile,SM-G998U,28,39102,4200,55500
Tuolumne,Verizon,SM-G970U,28,39102,20486,55500
Tuolumne,Verizon,SM-G998U,28,39102,9840,55500
Colusa,all_carrier,NA,224,39089,22745,21826
Colusa,AT&T,SM-G970U,28,39089,47856,21826
Colusa,AT&T,SM-G998U,28,39089,54646,21826
Colusa,FirstNet,XP8800,28,39089,24466,21826
Colusa,Sprint,SM-G973U,28,39089,14163,21826
Colusa,T-Mobile,SM-G970U,28,39089,9744,21826
Colusa,T-Mobile,SM-G998U,28,39089,13022,21826
Colusa,Verizon,SM-G970U,28,39089,10741,21826
Colusa,Verizon,SM-G998U,28,39089,7324,21826
Mendocino,all_carrier,NA,640,34119,15692,91602
Mendocino,AT&T,SM-G970U,80,34119,32130,91602
Mendocino,AT&T,SM-G998U,80,34119,34771,91602
