County,Carrier,PhoneModel,Num_of_Tests,Median_County_Income,Avg_Down,Population
Riverside,all_carrier,NA,1140,35590,34312,2421480
Riverside,AT&T,SM-G970U,228,35590,51470,2421480
Riverside,FirstNet,XP8800,228,35590,25830,2421480
Riverside,Sprint,SM-G973U,228,35590,32507,2421480
Riverside,T-Mobile,SM-G970U,228,35590,20345,2421480
Riverside,Verizon,SM-G970U,228,35590,41405,2421480
Modoc,all_carrier,NA,395,32627,6768,8703
Modoc,AT&T,SM-G970U,79,32627,7135,8703
Modoc,FirstNet,XP8800,79,32627,6584,8703
Modoc,Sprint,SM-G973U,79,32627,4341,8703
Modoc,T-Mobile,SM-G970U,79,32627,5941,8703
Modoc,Verizon,SM-G970U,79,32627,9841,8703
Placer,all_carrier,NA,240,57440,32735,405308
Placer,AT&T,SM-G970U,48,57440,32524,405308
Placer,FirstNet,XP8800,48,57440,29157,405308
Placer,Sprint,SM-G973U,48,57440,31488,405308
Placer,T-Mobile,SM-G970U,48,57440,34206,405308
Placer,Verizon,SM-G970U,48,57440,36302,405308
San Diego,all_carrier,NA,845,43442,41720,3303736
San Diego,AT&T,SM-G970U,169,43442,61735,3303736
San Diego,FirstNet,XP8800,169,43442,34878,3303736
San Diego,Sprint,SM-G973U,169,43442,38443,3303736
San Diego,T-Mobile,SM-G970U,169,43442,33207,3303736
San Diego,Verizon,SM-G970U,169,43442,40338,3303736
Mono,all_carrier,NA,301,36904,9707,13185
Mono,AT&T,SM-G970U,61,36904,22055,13185
Mono,FirstNet,XP8800,57,36904,11119,13185
Mono,Sprint,SM-G973U,61,36904,1986,13185
Mono,T-Mobile,SM-G970U,61,36904,4022,13185
Mono,Verizon,SM-G970U,61,36904,9446,13185
Butte,all_carrier,NA,325,34586,24769,211216
Butte,AT&T,SM-G970U,65,34586,27419,211216
Butte,FirstNet,XP8800,65,34586,23057,211216
Butte,Sprint,SM-G973U,65,34586,25024,211216
Butte,T-Mobile,SM-G970U,65,34586,21123,211216
Butte,Verizon,SM-G970U,65,34586,27222,211216
Humboldt,all_carrier,NA,610,33244,21521,136514
Humboldt,AT&T,SM-G970U,122,33244,36014,136514
Humboldt,FirstNet,XP8800,122,33244,31385,136514
Humboldt,Sprint,SM-G973U,122,33244,13461,136514
Humboldt,T-Mobile,SM-G970U,122,33244,12009,136514
Humboldt,Verizon,SM-G970U,122,33244,14735,136514
Inyo,all_carrier,NA,621,41156,13263,18977
Inyo,AT&T,SM-G970U,143,41156,17594,18977
Inyo,FirstNet,XP8800,49,41156,25162,18977
Inyo,Sprint,SM-G973U,143,41156,9568,18977
Inyo,T-Mobile,SM-G970U,143,41156,10023,18977
Inyo,Verizon,SM-G970U,143,41156,11788,18977
Fresno,all_carrier,NA,615,32414,26146,1008860
Fresno,AT&T,SM-G970U,123,32414,36623,1008860
Fresno,FirstNet,XP8800,123,32414,20411,1008860
Fresno,Sprint,SM-G973U,123,32414,31653,1008860
Fresno,T-Mobile,SM-G970U,123,32414,12696,1008860
Fresno,Verizon,SM-G970U,123,32414,29347,1008860
Lake,all_carrier,NA,220,32940,24706,68099
Lake,AT&T,SM-G970U,44,32940,43735,68099
Lake,FirstNet,XP8800,44,32940,25725,68099
Lake,Sprint,SM-G973U,44,32940,10416,68099
Lake,T-Mobile,SM-G970U,44,32940,10791,68099
Lake,Verizon,SM-G970U,44,32940,32865,68099
San Bernardino,all_carrier,NA,1602,35438,30668,2181983
San Bernardino,AT&T,SM-G970U,336,35438,47992,2181983
San Bernardino,FirstNet,XP8800,258,35438,25506,2181983
San Bernardino,Sprint,SM-G973U,336,35438,23086,2181983
San Bernardino,T-Mobile,SM-G970U,336,35438,17420,2181983
San Bernardino,Verizon,SM-G970U,336,35438,38136,2181983
Tuolumne,all_carrier,NA,139,39102,12425,55500
Tuolumne,AT&T,SM-G970U,28,39102,25802,55500
Tuolumne,FirstNet,XP8800,27,39102,14473,55500
Tuolumne,Sprint,SM-G973U,28,39102,2305,55500
Tuolumne,T-Mobile,SM-G970U,28,39102,2139,55500
Tuolumne,Verizon,SM-G970U,28,39102,17482,55500
Colusa,all_carrier,NA,130,39089,18454,21826
Colusa,AT&T,SM-G970U,26,39089,40027,21826
Colusa,FirstNet,XP8800,26,39089,23742,21826
Colusa,Sprint,SM-G973U,26,39089,11466,21826
Colusa,T-Mobile,SM-G970U,26,39089,3733,21826
Colusa,Verizon,SM-G970U,26,39089,13304,21826
Mendocino,all_carrier,NA,365,34119,12016,91602
Mendocino,AT&T,SM-G970U,73,34119,20721,91602
Mendocino,FirstNet,XP8800,73,34119,14966,91602
