carrier,phone model,speed range,error type,wTCPup1,wTCPdown1,eTCPup1,eTCPdown1,wTCPup2,wTCPdown2,eTCPup2,eTCPdown2,best d/l speeds,total tests,total in batch
AT&T,SM-S901U,200M+,N/A,0,134,0,78,0,108,0,82,160,4091,24569
AT&T,SM-S901U,100M-200M,N/A,13,424,11,349,10,392,9,331,519,4091,24569
AT&T,SM-S901U,50M-100M,N/A,216,612,187,542,193,602,178,522,644,4091,24569
AT&T,SM-S901U,10M-50M,N/A,1275,981,1166,982,1267,1017,1196,1042,962,4091,24569
AT&T,SM-S901U,0M-10M,N/A,1331,684,1306,719,1327,678,1358,764,541,4091,24569
AT&T,SM-S901U,N/A,N/A,0,0,0,0,0,0,0,0,1265,4091,24569
AT&T,SM-S901U,N/A,timeout,364,364,422,422,418,418,374,374,0,4091,24569
AT&T,SM-S901U,N/A,no effective service,795,795,795,795,795,795,795,795,0,4091,24569
AT&T,SM-S901U,N/A,connect_error2,58,58,173,173,51,51,162,162,0,4091,24569
AT&T,SM-S901U,N/A,bad_output,35,35,27,27,27,27,18,18,0,4091,24569
AT&T,SM-S901U,N/A,unknown_error,4,4,4,4,3,3,1,1,0,4091,24569
FirstNet,SM-G998U,200M+,N/A,0,77,0,42,0,73,0,59,104,4085,24569
FirstNet,SM-G998U,100M-200M,N/A,0,521,0,438,0,497,0,436,595,4085,24569
FirstNet,SM-G998U,50M-100M,N/A,81,776,71,666,85,708,74,656,780,4085,24569
FirstNet,SM-G998U,10M-50M,N/A,1538,1042,1340,986,1454,1051,1339,1007,1024,4085,24569
FirstNet,SM-G998U,0M-10M,N/A,1279,482,1217,496,1270,480,1239,494,387,4085,24569
FirstNet,SM-G998U,N/A,N/A,0,0,0,0,0,0,0,0,1195,4085,24569
FirstNet,SM-G998U,N/A,timeout,329,329,352,352,391,391,342,342,0,4085,24569
FirstNet,SM-G998U,N/A,no effective service,807,807,807,807,807,807,807,807,0,4085,24569
FirstNet,SM-G998U,N/A,connect_error2,32,32,283,283,52,52,267,267,0,4085,24569
FirstNet,SM-G998U,N/A,bad_output,19,19,14,14,24,24,15,15,0,4085,24569
FirstNet,SM-G998U,N/A,unknown_error,0,0,1,1,2,2,2,2,0,4085,24569
Sprint,SM-G973U,200M+,N/A,0,17,0,5,0,13,0,9,18,4102,24569
Sprint,SM-G973U,100M-200M,N/A,0,160,0,97,0,144,0,130,207,4102,24569
Sprint,SM-G973U,50M-100M,N/A,38,369,31,348,28,361,28,324,446,4102,24569
Sprint,SM-G973U,10M-50M,N/A,852,1000,728,992,727,1041,688,1000,1113,4102,24569
Sprint,SM-G973U,0M-10M,N/A,1559,903,1557,874,1661,857,1626,879,662,4102,24569
Sprint,SM-G973U,N/A,N/A,0,0,0,0,0,0,0,0,1656,4102,24569
Sprint,SM-G973U,N/A,timeout,601,601,656,656,625,625,610,610,0,4102,24569
Sprint,SM-G973U,N/A,no effective service,1002,1002,1002,1002,1002,1002,1002,1002,0,4102,24569
Sprint,SM-G973U,N/A,connect_error2,48,48,123,123,56,56,144,144,0,4102,24569
Sprint,SM-G973U,N/A,bad_output,2,2,4,4,2,2,3,3,0,4102,24569
Sprint,SM-G973U,N/A,unknown_error,0,0,1,1,1,1,1,1,0,4102,24569
T-Mobile,SM-G970U,200M+,N/A,0,9,0,4,0,7,0,7,14,4080,24569
T-Mobile,SM-G970U,100M-200M,N/A,0,137,0,105,0,136,0,99,184,4080,24569
T-Mobile,SM-G970U,50M-100M,N/A,35,385,29,332,28,357,25,335,462,4080,24569
T-Mobile,SM-G970U,10M-50M,N/A,823,1012,684,968,722,1015,652,998,1118,4080,24569
T-Mobile,SM-G970U,0M-10M,N/A,1627,942,1632,936,1695,930,1708,946,702,4080,24569
T-Mobile,SM-G970U,N/A,N/A,0,0,0,0,0,0,0,0,1600,4080,24569
T-Mobile,SM-G970U,N/A,timeout,489,489,523,523,508,508,498,498,0,4080,24569
T-Mobile,SM-G970U,N/A,no effective service,1063,1063,1063,1063,1063,1063,1063,1063,0,4080,24569
T-Mobile,SM-G970U,N/A,connect_error2,37,37,141,141,55,55,129,129,0,4080,24569
T-Mobile,SM-G970U,N/A,bad_output,5,5,8,8,8,8,4,4,0,4080,24569
T-Mobile,SM-G970U,N/A,unknown_error,1,1,0,0,1,1,1,1,0,4080,24569
T-Mobile,SM-S901U,200M+,N/A,0,425,0,316,0,333,0,220,452,4133,24569
T-Mobile,SM-S901U,100M-200M,N/A,44,217,38,162,39,185,32,147,231,4133,24569
T-Mobile,SM-S901U,50M-100M,N/A,211,282,171,256,190,301,161,287,332,4133,24569
T-Mobile,SM-S901U,10M-50M,N/A,912,763,838,715,882,820,821,762,795,4133,24569
T-Mobile,SM-S901U,0M-10M,N/A,1193,673,1167,765,1249,721,1180,778,543,4133,24569
T-Mobile,SM-S901U,N/A,N/A,0,0,0,0,0,0,0,0,1780,4133,24569
T-Mobile,SM-S901U,N/A,timeout,531,531,578,578,542,542,552,552,0,4133,24569
T-Mobile,SM-S901U,N/A,no effective service,1126,1126,1126,1126,1126,1126,1126,1126,0,4133,24569
T-Mobile,SM-S901U,N/A,connect_error2,87,87,194,194,86,86,238,238,0,4133,24569
T-Mobile,SM-S901U,N/A,bad_output,28,28,16,16,15,15,22,22,0,4133,24569
T-Mobile,SM-S901U,N/A,unknown_error,1,1,5,5,4,4,1,1,0,4133,24569
Verizon,SM-S901U,200M+,N/A,0,268,0,197,0,216,0,136,289,4078,24569
Verizon,SM-S901U,100M-200M,N/A,22,362,17,262,17,334,8,225,403,4078,24569
Verizon,SM-S901U,50M-100M,N/A,222,744,199,667,205,737,172,639,796,4078,24569
Verizon,SM-S901U,10M-50M,N/A,1212,900,1077,917,1209,925,1081,983,850,4078,24569
Verizon,SM-S901U,0M-10M,N/A,1328,510,1276,526,1318,537,1273,551,433,4078,24569
Verizon,SM-S901U,N/A,N/A,0,0,0,0,0,0,0,0,1307,4078,24569
Verizon,SM-S901U,N/A,timeout,455,455,507,507,502,502,475,475,0,4078,24569
